,Data,Sleep_Stage,Cata,Sample_number,Area
0,0.8438698431144683,Nrem,Sensitivity,5,Cerebral EEG
0,0.8629001883239171,Rem,Sensitivity,5,Cerebral EEG
0,0.867102944877926,Wakefulness,Specificity,5,Cerebral EEG
0,0.9055706858133201,Nrem,Specificity,5,Cerebral EEG
0,0.9901355901355902,Rem,Specificity,5,Cerebral EEG
0,0.813844520358231,Wakefulness,Precision,5,Cerebellar EEG
0,0.7100162866449511,Nrem,Precision,5,Cerebellar EEG
0,0.20541082164328658,Rem,Precision,5,Cerebellar EEG
0,0.9343845236517822,Wakefulness,Recall,5,Cerebellar EEG
0,0.5066240557815224,Nrem,Recall,5,Cerebellar EEG
0,0.1544256120527307,Rem,Recall,5,Cerebellar EEG
0,0.9343845236517822,Wakefulness,Sensitivity,5,Cerebellar EEG
0,0.5066240557815224,Nrem,Sensitivity,5,Cerebellar EEG
0,0.1544256120527307,Rem,Sensitivity,5,Cerebellar EEG
0,0.5940095645607854,Wakefulness,Specificity,5,Cerebellar EEG
0,0.9118346125278535,Nrem,Specificity,5,Cerebellar EEG
0,0.9711347711347711,Rem,Specificity,5,Cerebellar EEG
0,0.8504840355374164,Wakefulness,Precision,5,EMG
0,0.6866062085803977,Nrem,Precision,5,EMG
0,0.12558139534883722,Rem,Precision,5,EMG
0,0.9056578773022393,Wakefulness,Recall,5,EMG
0,0.6862870424171993,Nrem,Recall,5,EMG
0,0.010169491525423728,Rem,Recall,5,EMG
0,0.9056578773022393,Wakefulness,Sensitivity,5,EMG
0,0.6862870424171993,Nrem,Sensitivity,5,EMG
0,0.010169491525423728,Rem,Sensitivity,5,EMG
0,0.6975585200100679,Wakefulness,Specificity,5,EMG
0,0.8665263679128498,Nrem,Specificity,5,EMG
0,0.9965783965783965,Rem,Specificity,5,EMG
0,0.9477893328468041,Wakefulness,Precision,5,Cerebral EEG
0,0.6986263610051914,Nrem,Precision,5,Cerebral EEG
0,0.7862232779097387,Rem,Precision,5,Cerebral EEG
0,0.8230308151355918,Wakefulness,Recall,5,Cerebral EEG
